id_invoice,customer_name,customer_last_name,customer_country,customer_city,customer_gender,car_VIN,car_make,car_model,car_color,invoice_date,invoice_amount,id_salesperson
1,Berty,Zarfai,Yemen,Ash Sharyah,Male,5UXFG2C55DL658179,Ford,E350,Violet,16/11/2020,26630.31,1
2,Fredric,Clegg,Brazil,Poço Verde,Male,WBAAZ33423K754663,Jaguar,XJ Series,Mauv,22/01/2018,33405.66,2
3,Lucina,Fettis,China,Chengyang,Female,WAU4GBFB3AN058008,Honda,Insight,Orange,20/08/2020,27577.53,3
4,Mariele,Rickasse,Mexico,Plan de Ayala,Female,5FRYD4H69EB058669,Mercedes-Benz,SLK-Class,Goldenrod,26/9/2020,21596.97,4
5,Arturo,Conre,Bulgaria,Bolyarovo,Male,2T1BU4EE8CC155818,Cadillac,Escalade ESV,Mauv,14/2/2020,12271.58,5
6,Minni,Lebell,Philippines,Las Piñas,Female,JM3TB2BV6E0482855,Chevrolet,Express 3500,Yellow,23/7/2018,22916.27,6
7,Lexie,Slaney,Canada,Summerside,Female,1G4GB5EG8AF846303,Lincoln,Navigator,Teal,13/11/2020,26082.33,7
8,Chas,Lindegard,Peru,San Carlos,Male,1GYS4JEF5BR870657,Ford,Expedition EL,Crimson,15/6/2018,16147.63,8
9,Cletis,Spire,Botswana,Janeng,Male,WBAPH775X9N905750,Ford,Escape,Crimson,22/8/2019,11288.5,9
10,Rikki,Ortsmann,Greece,Skála Oropoú,Male,2V4RW3DG2BR149457,Chevrolet,Tahoe,Teal,21/8/2018,22284.75,10
11,Skipper,Bryson,China,Qiucun,Male,4T1BF1FK5CU105406,Mercedes-Benz,GL-Class,Mauv,25/10/2020,7226.88,1
12,Talyah,Vest,Kuwait,Ar Rābiyah,Female,1G4CU541344993179,Buick,LeSabre,Puce,28/12/2019,33895.44,2
13,Constantino,Bradden,Poland,Dębno,Male,5NMSG3AB1AH905323,Nissan,Sentra,Goldenrod,30/6/2019,31228.65,3
